,C=O,CN,C[NH3+],N,CS,CCl,NN,CC,[NH2+]=O,[NH4+],C1=CC=CC=C1,CF,CO,C1CCOCC1,C,C1=CC=NC=C1,CBr,[NH3+][O-]
1-O-Octyl-D-glucitol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0
N-Octyl-L-Mannonamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-octyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-Butyl-erythronamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
N-Pentyl-erythronamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
N-Hexyl-erythronamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
N-Octyl-erythronamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
N-Octyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
D-gluconamide,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-Methyl-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-Ethyl-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-Propyl-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-Butyl-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-Pentyl-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-Hexyl-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-Heptyl-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-Nonyl-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
4-Methoxyphenyl β-D-xylopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
Glucitol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0
Galactitol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0
"N-[5-hydroxy-6-(hydroxymethyl)-2-(4-methoxyphenoxy)-4-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]acetamide",1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0
"2-[3,5-dihydroxy-2-(hydroxymethyl)-6-(4-methoxyphenoxy)oxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0
"2-[3,5-dihydroxy-2-(hydroxymethyl)-6-(4-methoxyphenoxy)oxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0
"2-[[3,5-dihydroxy-6-(4-methoxyphenoxy)-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0
N-4-(Trifluoromethyl)phenyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0
N-4-Methylphenyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-3-(Trifluoromethyl)benzyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0
N-4-(Trifluoromethyl)benzyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0
N-2-Hydroxyphenyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0
N-3-(Trifluoromethyl)phenyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0
N-4-(Trifluoromethoxy)phenyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,7.0,0.0,6.0,0.0,0.0,0.0
"N-2,5-(Dichloro)phenyl-D-gluconamide",1.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-2-Methylbenzyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-4-(Trifluoromethoxy)benzyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,7.0,0.0,6.0,0.0,0.0,0.0
N-2-(Trifluoromethoxy)benzyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,7.0,0.0,6.0,0.0,0.0,0.0
N-2-Chlorophenyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-4-Chlorophenyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
N-4-Chlorobenzyl-D-gluconamide,1.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
