Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1-Cyclohexyl-1-butanol,4.23271,687.96242,-0.04000,2.72770,156.15142,1.90909,0.21046,1.00000,1,1,0.44902,25.40825,12.61237,2.70412,0.97019,1.00000,-0.04000,0.00424,1.13430,4.76064,2.81983,0.24236,0.95528,1,0,1,0,0,0,0,1,1,1,0,1,1,1,5,1,0,1,0.81719,225.22371,0.33952,20.23000
"2-n-Pentylpropane-1,3-diol",7.05498,546.42313,-0.08000,1.16750,146.13068,1.60000,0.21005,1.00000,2,2,0.37250,22.81650,10.97474,2.15825,0.95814,1.00000,-0.08000,0.00313,1.08916,7.03211,4.76659,0.28629,0.85784,0,0,0,0,0,0,0,2,2,2,0,2,2,0,9,0,0,0,0.84483,274.34521,0.35956,40.46000
Ethyl 2-aminooxazole-4-carboxylate,2.96499,481.31909,-1.52000,0.43350,156.05349,2.36364,0.35988,0.33333,2,5,0.57870,13.11917,6.33587,2.44144,0.98579,0.33333,-1.52000,0.00502,2.23109,3.04628,1.69828,0.16799,0.87804,0,0,0,0,0,1,1,5,1,5,1,5,2,1,4,0,0,0,0.47985,175.00650,0.12554,78.35000
5-Aminopyridine-2-carboxylic acid,3.51046,422.47355,-1.58000,-0.97270,137.03565,1.90000,0.15627,0.00000,2,4,0.57734,9.71092,4.72350,2.32907,0.98550,0.00000,-1.58000,0.00642,2.57404,2.34499,1.22262,0.16968,0.83032,0,0,0,0,0,1,1,4,1,4,1,4,2,1,2,0,0,0,0.00000,129.27605,0.00000,79.04000
4-Aminopyridine-2-carboxylic acid,3.72607,463.06736,-1.58000,-1.55360,138.04293,2.10000,0.45342,0.00000,3,4,0.40914,10.71092,5.17071,2.32907,0.96295,0.00000,-1.58000,0.00374,2.22941,2.34499,1.22262,0.26968,0.73032,0,0,0,0,0,1,1,3,1,4,1,4,3,1,2,0,0,0,0.00000,195.22356,0.00000,80.29000
3-(3-Pyridyl)-L-alanine,3.80615,630.33303,-1.42000,-2.01550,166.07423,2.16667,0.34457,0.25000,3,4,0.34190,15.71092,7.67071,2.82907,0.95097,0.25000,-1.42000,0.00304,2.29259,3.82420,2.31905,0.30929,0.89237,0,0,0,0,0,1,1,3,1,4,1,4,3,1,4,0,0,0,0.69418,293.47963,0.30101,80.66000
4-Amino-N-Boc-L-phenylalanine,3.97588,1077.88154,-2.24000,0.45450,279.13503,1.65000,0.40769,0.42857,3,6,0.20905,28.52742,14.03308,4.69144,0.89367,0.42857,-2.24000,0.00047,3.69182,6.27328,5.60051,0.44873,0.65904,0,0,0,1,1,0,1,5,2,6,0,6,3,1,5,0,0,0,0.84968,1399.51496,0.21080,104.48000
4-Aminobenzoic acid,3.69787,431.67565,-1.51000,-0.36770,136.04040,1.60000,0.15622,0.00000,2,3,0.57485,10.76371,5.27628,2.38186,0.98528,0.00000,-1.51000,0.00625,2.26848,2.38963,1.25390,0.17093,0.82907,0,0,0,0,1,0,1,3,1,3,0,3,2,1,2,0,0,0,0.00000,132.55500,0.00000,66.15000
"(2S,3R)-2-amino-3-methylpentanoic acid",6.95724,448.91734,-0.57000,-1.60710,131.09463,2.33333,0.34457,0.83333,3,3,0.15992,17.26371,8.22350,1.88186,0.87848,0.83333,-0.57000,0.00345,1.11498,3.45452,2.46357,0.47778,0.84088,0,0,0,0,0,0,0,2,1,3,0,3,3,0,6,0,0,0,0.81815,243.91556,0.47703,67.77000
1-propylpyrrolidine-2-carboxylic acid,4.11078,625.62615,-0.57000,-1.80640,157.11028,2.27273,0.34818,0.87500,1,3,0.07787,20.26371,10.02628,2.57907,0.76568,0.87500,-0.57000,0.00161,1.43422,3.71548,1.92848,0.64322,0.71039,0,1,1,0,0,0,0,2,1,3,1,3,1,1,4,0,1,1,0.95364,441.23118,0.55309,44.57000
"methyl 4,5-diaminopyridine-2-carboxylate",3.47503,559.25275,-1.78000,0.03260,167.06948,1.83333,0.35622,0.14286,4,5,0.53043,14.65814,7.04565,2.75680,0.98099,0.14286,-1.78000,0.00342,2.35183,3.08088,1.44504,0.19408,0.80896,0,0,0,0,0,1,1,5,2,5,1,5,4,1,4,0,0,0,0.12632,236.53253,0.02371,91.23000
5-nitropyridine-2-carboxylic acid,3.58134,462.18050,-1.98000,-0.64670,167.00983,1.66667,0.28710,0.00000,0,6,0.64999,8.52742,4.19422,2.69422,0.99086,0.00000,-1.98000,0.00513,4.80904,2.95161,1.54001,0.13486,0.86514,0,0,0,0,0,1,1,5,0,6,1,6,0,1,2,0,0,0,0.00000,168.48063,0.00000,96.16000
4-(dimethylamino)pyridine-2-carboxylic acid,3.78446,566.58110,-1.58000,-0.48890,165.06695,1.83333,0.09002,0.25000,0,4,0.43528,14.71092,7.27628,2.77628,0.96831,0.25000,-1.58000,0.00268,2.45172,3.21177,1.71939,0.24975,0.76549,0,0,0,0,0,1,1,4,0,4,1,4,0,1,4,0,0,0,0.33684,285.48933,0.08369,56.26000
methyl 4-aminopyridine-2-carboxylate,3.34212,514.79940,-1.58000,0.45040,152.05858,2.09091,0.35622,0.14286,2,4,0.46135,13.21092,6.42762,2.53319,0.97218,0.14286,-1.58000,0.00339,2.20079,3.00522,1.66898,0.23423,0.76921,0,0,0,0,0,1,1,4,1,4,1,4,2,1,3,0,0,0,0.09563,226.72648,0.02746,65.21000
"(1r,3s)-1-amino-3-methylcyclobutane-1-carboxylic acid",3.75984,432.81015,-0.57000,-1.85310,129.07898,2.33333,0.34480,0.83333,3,3,0.32925,15.26371,7.47350,2.13186,0.94842,0.83333,-0.57000,0.00518,1.23271,1.70317,0.92015,0.31701,0.85002,1,0,1,0,0,0,0,2,1,3,0,3,3,1,3,1,0,1,0.62548,164.01379,0.49138,67.77000
methyl 5-aminopyridine-2-carboxylate,3.29175,514.79940,-1.58000,0.45040,152.05858,2.00000,0.35614,0.14286,2,4,0.63107,13.21092,6.42762,2.53319,0.98965,0.14286,-1.58000,0.00578,2.20079,3.00522,1.66898,0.14351,0.85970,0,0,0,0,0,1,1,4,1,4,1,4,2,1,3,0,0,0,0.09563,148.63055,0.02525,65.21000
"(2S)-2-amino-3-(3,5-dichloro-4-hydroxyphenyl)propanoic acid",3.92780,666.81705,-0.97000,-0.39810,248.99595,1.86667,0.34457,0.22222,4,4,0.26652,15.92789,7.71383,4.21987,0.92845,0.22222,-0.97000,0.00091,4.49116,4.70017,2.98887,0.37145,0.75374,0,0,0,0,1,0,1,3,2,6,0,4,4,1,5,0,0,0,0.68166,832.35328,0.24056,88.00000
"(2S,3S)-3-methyl-2-(methylamino)pentanoic acid hydrochloride",7.31724,531.46864,-0.57000,-1.65580,145.11028,2.20000,0.34614,0.85714,2,3,0.08462,19.76371,9.49989,2.10546,0.80156,0.85714,-0.57000,0.00264,1.22074,4.27796,2.35136,0.59792,0.90528,0,0,0,0,0,0,0,2,1,3,0,3,2,0,7,0,0,0,0.75834,343.17668,0.45676,56.74000
